ans	Most recent answer
lsqnonneg	Solve nonnegative linear least-squares problem
optimget	Optimization options values
optimset	Create or modify optimization options structure
Numerical Integration and Differential Equations
Ordinary Differential Equations
decic	Compute consistent initial conditions for ode15i
deval	Evaluate differential equation solution structure
ode	Ordinary differential equations (Since R2023b)
ode113	Solve nonstiff differential equations — variable order method
ode15i	Solve fully implicit differential equations — variable order method
ode15s	Solve stiff differential equations and DAEs — variable order method
ode23	Solve nonstiff differential equations — low order method
ode23s	Solve stiff differential equations — low order method
ode23t	Solve moderately stiff ODEs and DAEs — trapezoidal rule
ode23tb	Solve stiff differential equations — trapezoidal rule + backward differentiation formula
ode45	Solve nonstiff differential equations — medium order method
ode78	Solve nonstiff differential equations — high order method (Since R2021b)
ode89	Solve nonstiff differential equations — high order method (Since R2021b)
odeEvent	ODE event definition (Since R2023b)
odeget	Extract ODE option values
odeJacobian	ODE Jacobian matrix (Since R2023b)
odeMassMatrix	ODE mass matrix (Since R2023b)
ODEResults	Results of ODE integration (Since R2023b)
odeSensitivity	ODE sensitivity analysis (Since R2024a)
odeset	Create or modify options structure for ODE and PDE solvers
odextend	Extend solution to ODE
Boundary Value Problems
bvp4c	Solve boundary value problem — fourth-order method
bvp5c	Solve boundary value problem — fifth-order method
bvpget	Extract properties from options structure created with bvpset
bvpinit	Form initial guess for boundary value problem solver
bvpset	Create or alter options structure of boundary value problem
bvpxtend	Form guess structure for extending boundary value solutions
deval	Evaluate differential equation solution structure
Delay Differential Equations
dde23	Solve delay differential equations (DDEs) with constant delays
ddeget	Extract properties from delay differential equations options structure
ddensd	Solve delay differential equations (DDEs) of neutral type
ddesd	Solve delay differential equations (DDEs) with general delays
ddeset	Create or alter delay differential equations options structure
deval	Evaluate differential equation solution structure
1-D Partial Differential Equations
odeget	Extract ODE option values
odeset	Create or modify options structure for ODE and PDE solvers
pdepe	Solve 1-D parabolic and elliptic PDEs
pdeval	Interpolate numerical solution of PDE
Numerical Integration and Differentiation
cumtrapz	Cumulative trapezoidal numerical integration
del2	Discrete Laplacian
diff	Differences and approximate derivatives
gradient	Numerical gradient
integral	Numerical integration
integral2	Numerically evaluate double integral
integral3	Numerically evaluate triple integral
polyder	Polynomial differentiation
polyint	Polynomial integration
quad2d	Numerically evaluate double integral — tiled method
quadgk	Numerically evaluate integral — Gauss-Kronrod quadrature
trapz	Trapezoidal numerical integration
Fourier Analysis and Filtering
Fourier Transform
fft	Fast Fourier transform
fft2	2-D fast Fourier transform
fftn	N-D fast Fourier transform
fftshift	Shift zero-frequency component to center of spectrum
fftw	Define method for determining FFT algorithm
ifft	Inverse fast Fourier transform
ifft2	2-D inverse fast Fourier transform
ifftn	Multidimensional inverse fast Fourier transform
ifftshift	Inverse zero-frequency shift
interpft	1-D interpolation (FFT method)
nextpow2	Exponent of next higher power of 2
nufft	Nonuniform fast Fourier transform (Since R2020a)
nufftn	N-D nonuniform fast Fourier transform (Since R2020a)
Convolution
conv	Convolution and polynomial multiplication
conv2	2-D convolution
convn	N-D convolution
deconv	Least-squares deconvolution and polynomial division
Digital Filtering
filter	1-D digital filter
filter2	2-D digital filter
padecoef	Padé approximation of time delays
ss2tf	Convert state-space representation to transfer function
Sparse Matrices
Creation
spalloc	Allocate space for sparse matrix
sparse	Create sparse matrix
spconvert	Import from sparse matrix external format
spdiags	Extract nonzero diagonals and create sparse band and diagonal matrices
speye	Sparse identity matrix
sprand	Sparse uniformly distributed random matrix
sprandn	Sparse normally distributed random matrix
sprandsym	Sparse symmetric random matrix
Manipulation
find	Find indices and values of nonzero elements
full	Convert sparse matrix to full storage
issparse	Determine whether input is sparse
nnz	Number of nonzero matrix elements
nonzeros	Nonzero matrix elements
nzmax	Amount of storage allocated for nonzero matrix elements
spfun	Apply function to nonzero sparse matrix elements
spones	Replace nonzero sparse matrix elements with ones
spparms	Set parameters for sparse matrix routines
spy	Visualize sparsity pattern of matrix
Reordering Algorithms
amd	Approximate minimum degree permutation
colamd	Column approximate minimum degree permutation
colperm	Sparse column permutation based on nonzero count
dissect	Nested dissection permutation
dmperm	Dulmage-Mendelsohn decomposition
randperm	Random permutation of integers
symamd	Symmetric approximate minimum degree permutation
symrcm	Sparse reverse Cuthill-McKee ordering
Iterative Methods and Preconditioners
bicg	Solve system of linear equations — biconjugate gradients method
bicgstab	Solve system of linear equations — stabilized biconjugate gradients method
bicgstabl	Solve system of linear equations — stabilized biconjugate gradients (l) method
cgs	Solve system of linear equations — conjugate gradients squared method
equilibrate	Matrix scaling for improved conditioning
gmres	Solve system of linear equations — generalized minimum residual method
ichol	Incomplete Cholesky factorization
ilu	Incomplete LU factorization
lsqr	Solve system of linear equations — least-squares method
minres	Solve system of linear equations — minimum residual method
pcg	Solve system of linear equations — preconditioned conjugate gradients method
qmr	Solve system of linear equations — quasi-minimal residual method
symmlq	Solve system of linear equations — symmetric LQ method
tfqmr	Solve system of linear equations — transpose-free quasi-minimal residual method
Eigenvalues and Singular Values
condest	1-norm condition number estimate
eigs	Subset of eigenvalues and eigenvectors
normest	2-norm estimate
svds	Subset of singular values and vectors
Structural Analysis
dmperm	Dulmage-Mendelsohn decomposition
etree	Elimination tree
etreeplot	Plot elimination tree
gplot	Plot nodes and edges in adjacency matrix
spaugment	Form least-squares augmented system
sprank	Structural rank
symbfact	Symbolic factorization analysis
treelayout	Lay out tree or forest
treeplot	Plot picture of tree
unmesh	Convert edge matrix to coordinate and Laplacian matrices
Graph and Network Algorithms
Construction
digraph	Graph with directed edges
graph	Graph with undirected edges
Modify Nodes and Edges
addedge	Add new edge to graph
addnode	Add new node to graph
edgecount	Number of edges between two nodes
findedge	Locate edge in graph
findnode	Locate node in graph
flipedge	Reverse edge directions
numedges	Number of edges in graph
numnodes	Number of nodes in graph
reordernodes	Reorder graph nodes
rmedge	Remove edge from graph
rmnode	Remove node from graph
subgraph	Extract subgraph
Analyze Structure
bctree	Block-cut tree graph
biconncomp	Biconnected graph components
centrality	Measure node importance
condensation	Graph condensation
conncomp	Connected graph components
isdag	Determine if graph is acyclic
isisomorphic	Determine whether two graphs are isomorphic
ismultigraph	Determine whether graph has multiple edges
isomorphism	Compute isomorphism between two graphs
simplify	Reduce multigraph to simple graph
toposort	Topological order of directed acyclic graph
transclosure	Transitive closure
transreduction	Transitive reduction
Traversals, Shortest Paths, and Cycles
allcycles	Find all cycles in graph (Since R2021a)
allpaths	Find all paths between two graph nodes (Since R2021a)
bfsearch	Breadth-first graph search
cyclebasis	Fundamental cycle basis of graph (Since R2021a)
dfsearch	Depth-first graph search
distances	Shortest path distances of all node pairs
hascycles	Determine whether graph contains cycles (Since R2021a)
maxflow	Maximum flow in graph
minspantree	Minimum spanning tree of graph
shortestpath	Shortest path between two single nodes
shortestpathtree	Shortest path tree from node
Matrix Representation
adjacency	Graph adjacency matrix
incidence	Graph incidence matrix
laplacian	Graph Laplacian matrix
Node Information
degree	Degree of graph nodes
indegree	In-degree of nodes
inedges	Incoming edges to node
nearest	Nearest neighbors within radius
neighbors	Neighbors of graph node
outdegree	Out-degree of nodes
outedges	Outgoing edges from node
predecessors	Node predecessors
successors	Node successors
Visualization
highlight	Highlight nodes and edges in plotted graph
labeledge	Label graph edges
labelnode	Label graph nodes
layout	Change layout of graph plot
layoutcoords	Graph node and edge layout coordinates (Since R2024b)
plot	Plot graph nodes and edges
Other
GraphPlot	Graph plot for directed and undirected graphs
Computational Geometry
Triangulation Representation
barycentricToCartesian	Convert coordinates from barycentric to Cartesian
boundaryshape	Create polyshape from 2-D triangulation
cartesianToBarycentric	Convert coordinates from Cartesian to barycentric
circumcenter	Circumcenter of triangle or tetrahedron
edgeAttachments	Triangles or tetrahedra attached to specified edge
edges	Triangulation edges
faceNormal	Triangulation unit normal vectors
featureEdges	Sharp edges of surface triangulation
freeBoundary	Free boundary facets
incenter	Incenter of triangulation elements
isConnected	Test if two vertices are connected by an edge
nearestNeighbor	Vertex closest to specified point
neighbors	Triangle or tetrahedron neighbors
pointLocation	Triangle or tetrahedron enclosing point
size	Size of triangulation connectivity list
stlread	Create triangulation from STL file
stlwrite	Create STL file from triangulation
tetramesh	Tetrahedron mesh plot
triangulation	Triangulation in 2-D or 3-D
trimesh	Triangular mesh plot
triplot	2-D triangular plot
trisurf	Triangular surface plot
vertexAttachments	Triangles or tetrahedra attached to vertex
vertexNormal	Triangulation vertex normal
Delaunay Triangulation
barycentricToCartesian	Convert coordinates from barycentric to Cartesian
boundaryshape	Create polyshape from 2-D triangulation
cartesianToBarycentric	Convert coordinates from Cartesian to barycentric
circumcenter	Circumcenter of triangle or tetrahedron
convexHull	Convex hull of Delaunay triangulation
delaunay	Delaunay triangulation
delaunayn	N-D Delaunay triangulation
delaunayTriangulation	Delaunay triangulation in 2-D and 3-D
edgeAttachments	Triangles or tetrahedra attached to specified edge
edges	Triangulation edges
faceNormal	Triangulation unit normal vectors
featureEdges	Sharp edges of surface triangulation
freeBoundary	Free boundary facets
incenter	Incenter of triangulation elements
isConnected	Test if two vertices are connected by an edge
isInterior	Query points inside Delaunay triangulation
nearestNeighbor	Vertex closest to specified point
neighbors	Triangle or tetrahedron neighbors
pointLocation	Triangle or tetrahedron enclosing point
size	Size of triangulation connectivity list
stlwrite	Create STL file from triangulation
tetramesh	Tetrahedron mesh plot
trimesh	Triangular mesh plot
triplot	2-D triangular plot
trisurf	Triangular surface plot
vertexAttachments	Triangles or tetrahedra attached to vertex
vertexNormal	Triangulation vertex normal
voronoiDiagram	Voronoi diagram of Delaunay triangulation
Spatial Search
delaunayn	N-D Delaunay triangulation
delaunayTriangulation	Delaunay triangulation in 2-D and 3-D
dsearchn	Nearest point search
triangulation	Triangulation in 2-D or 3-D
tsearchn	N-D closest simplex search
Bounding Regions
alphaShape	Polygons and polyhedra from points in 2-D and 3-D
alphaSpectrum	Alpha values giving distinct alpha shapes
alphaTriangulation	Triangulation that fills alpha shape
area	Area of 2-D alpha shape
boundary	Boundary of a set of points in 2-D or 3-D
boundaryFacets	Boundary facets of alpha shape
convhull	Convex hull
convhulln	N-D convex hull
criticalAlpha	Alpha radius defining critical transition in shape
inShape	Determine if point is inside alpha shape
nearestNeighbor	Determine nearest alpha shape boundary point
numRegions	Number of regions in alpha shape
perimeter	Perimeter of 2-D alpha shape
plot	Plot alpha shape
surfaceArea	Surface area of 3-D alpha shape
volume	Volume of 3-D alpha shape
Voronoi Diagram
patch	Create patches of colored polygons
voronoi	Voronoi diagram
voronoin	N-D Voronoi diagram
Elementary Polygons
addboundary	Add polyshape boundary
area	Area of polyshape
boundary	Vertex coordinates of polyshape boundary
boundaryshape	Create polyshape from 2-D triangulation
boundingbox	Bounding box of polyshape
centroid	Centroid of polyshape
convhull	Convex hull of polyshape
holes	Convert polyshape hole boundaries to array of polyshape objects
inpolygon	Points located inside or on edge of polygonal region
intersect	Intersection of polyshape objects
ishole	Determine if polyshape boundary is a hole
isinterior	Query points inside polyshape
issimplified	Determine if polyshape is well-defined
nearestvertex	Query nearest polyshape vertex
nsidedpoly	Regular polygon
numboundaries	Number of polyshape boundaries
numsides	Number of polyshape sides
overlaps	Determine whether polyshape objects overlap
perimeter	Perimeter of polyshape
plot	Plot polyshape
polyarea	Area of polygon
polybuffer	Create buffer around points, lines, or polyshape objects
polyshape	2-D polygonal shapes
rectint	Rectangle intersection area
regions	Access polyshape regions
rmboundary	Remove polyshape boundary
rmholes	Remove holes in polyshape
rmslivers	Remove polyshape boundary outliers
rotate	Rotate polyshape
scale	Scale polyshape
simplify	Simplify polyshape boundaries
sortboundaries	Sort polyshape boundaries
sortregions	Sort polyshape regions
subtract	Difference of two polyshape objects
translate	Translate polyshape
triangulation	Triangulate polyshape
turningdist	Compute turning distance between polyshape objects
union	Union of polyshape objects
xor	Exclusive OR of two polyshape objects
Quantum Computing
Gate-Based Quantum Computing
ccxGate	Controlled controlled X gate (CCNOT or Toffoli gate) (Since R2023a)
chGate	Controlled Hadamard gate (Since R2023a)
cnotGate	CNOT gate (controlled X gate) (Since R2023a)
compositeGate	Construct composite gate for quantum computing (Since R2023a)
cr1Gate	Controlled z-axis rotation gate with global phase (Since R2023a)
crxGate	Controlled x-axis rotation gate (Since R2023a)
cryGate	Controlled y-axis rotation gate (Since R2023a)
crzGate	Controlled z-axis rotation gate (Since R2023a)
cxGate	Controlled X gate (CNOT gate) (Since R2023a)
cyGate	Controlled Y gate (Since R2023a)
czGate	Controlled Z gate (Since R2023a)
hGate	Hadamard gate (Since R2023a)
idGate	Identity gate (Since R2023a)
initGate	Initialization gate with specified qubit states (Since R2023b)
mcxGate	Multi-controlled X gate (Since R2023a)
qftGate	Quantum Fourier transform gate (Since R2023a)
quantum.backend.QuantumDeviceAWS	Quantum device available through AWS (Since R2023a)
quantum.backend.QuantumDeviceIBM	Quantum device available through IBM (Since R2023b)
quantum.backend.QuantumTaskAWS	Task sent to AWS for execution on quantum device (Since R2023a)
quantum.backend.QuantumTaskIBM	Task sent to IBM for execution on quantum device (Since R2023b)
quantum.gate.CompositeGate	Composite gate for quantum computing (Since R2023a)
quantum.gate.QuantumMeasurement	Measurement result of quantum circuit (Since R2023a)
quantum.gate.QuantumState	State of qubits in quantum circuit (Since R2023a)
quantum.gate.SimpleGate	Simple gate for quantum computing (Since R2023a)
quantumCircuit	Quantum computing circuit (Since R2023a)
r1Gate	z-axis rotation gate with global phase (Since R2023a)
rxGate	x-axis rotation gate (Since R2023a)
rxxGate	Ising XX coupling gate (Since R2023a)
ryGate	y-axis rotation gate (Since R2023a)
ryyGate	Ising YY coupling gate (Since R2023a)
rzGate	z-axis rotation gate (Since R2023a)
rzzGate	Ising ZZ coupling gate (Since R2023a)
sGate	S gate (Since R2023a)
siGate	Inverse S gate (Since R2023a)
swapGate	Swap gate (Since R2023a)
tGate	T gate (Since R2023a)
tiGate	Inverse T gate (Since R2023a)
ucrxGate	Uniformly controlled x-axis rotation gate (Since R2023b)
ucryGate	Uniformly controlled y-axis rotation gate (Since R2023b)
ucrzGate	Uniformly controlled z-axis rotation gate (Since R2023b)
unitaryGate	Unitary matrix gate (Since R2023b)
xGate	Pauli X gate (Since R2023a)
yGate	Pauli Y gate (Since R2023a)
zGate	Pauli Z gate (Since R2023a)
Quadratic Unconstrained Binary Optimization (QUBO)
evaluateObjective	Evaluate QUBO (Quadratic Unconstrained Binary Optimization) objective (Since R2023a)
qubo	Quadratic Unconstrained Binary Optimization (Since R2023a)
quboResult	Result of solving QUBO problem (Since R2023a)
solve	Solve QUBO (Quadratic Unconstrained Binary Optimization) problem (Since R2023a)
tabuSearch	Tabu search algorithm for QUBO solve (Since R2023a)
tabuSearchResult	Result of solve for Tabu search algorithm (Since R2023a)
Graphics
2-D and 3-D Plots
Line Plots
area	Filled area 2-D plot
errorbar	Line plot with error bars
fimplicit	Plot implicit function
fplot	Plot expression or function
fplot3	3-D parametric curve plotter
loglog	Log-log scale plot
plot	2-D line plot
plot3	3-D line plot
semilogx	Semilog plot (x-axis has log scale)
semilogy	Semilog plot (y-axis has log scale)
stackedplot	Stacked plot of several variables with common x-axis
stairs	Stairstep graph
Data Distribution Plots
binscatter	Binned scatter plot
boxchart	Box chart (box plot) (Since R2020a)
bubblechart	Bubble chart (Since R2020b)
bubblechart3	3-D bubble chart (Since R2020b)
bubblecloud	Create bubble cloud chart (Since R2021a)
bubblelegend	Create legend for bubble chart (Since R2020b)
bubblelim	Map bubble sizes to data range (Since R2020b)
bubblesize	Set minimum and maximum bubble sizes in points (Since R2020b)
donutchart	Donut chart (Since R2023b)
fewerbins	Decrease number of histogram bins
heatmap	Create heatmap chart
histcounts	Histogram bin counts
histcounts2	Bivariate histogram bin counts
histogram	Histogram plot
histogram2	Bivariate histogram plot
morebins	Increase number of histogram bins
parallelplot	Create parallel coordinates plot
pie	Legacy pie chart
pie3	3-D pie chart
piechart	Pie chart (Since R2023b)
plotmatrix	Scatter plot matrix
scatter	Scatter plot
scatter3	3-D scatter plot
scatterhistogram	Create scatter plot with histograms
sortx	Sort elements in heatmap row
sorty	Sort elements in heatmap column
spy	Visualize sparsity pattern of matrix
swarmchart	Swarm scatter chart (Since R2020b)
swarmchart3	3-D swarm scatter chart (Since R2020b)
violinplot	Violin plot (Since R2024b)
wordcloud	Create word cloud chart from text data
Discrete Data Plots
bar	Bar graph
bar3	3-D bar graph
bar3h	Horizontal 3-D bar graph
barh	Horizontal bar graph
pareto	Pareto chart
scatter	Scatter plot
scatter3	3-D scatter plot
stairs	Stairstep graph
stem	Plot discrete sequence data
stem3	Plot 3-D discrete sequence data
Geographic Plots
addToolbarMapButton	Add map button to toolbar (Since R2021b)
geoaxes	Create geographic axes
geobasemap	Set or query basemap
geobubble	Standalone geographic bubble chart
geodensityplot	Density plot in geographic coordinates
geoiconchart	Icon chart in geographic coordinates (Since R2024b)
geolimits	Set or query geographic limits
geoplot	Plot line in geographic coordinates
geoscatter	Scatter chart in geographic coordinates
geotickformat	Set or query geographic tick label format
removeToolbarMapButton	Remove map button from toolbar (Since R2021b)
Polar Plots
compassplot	Polar plot with arrows emanating from origin (Since R2024b)
fpolarplot	Plot expression or function in polar coordinates (Since R2024a)
polaraxes	Create polar axes
polarbubblechart	Polar bubble chart (Since R2020b)
polarhistogram	Histogram chart in polar coordinates
polarplot	Plot line in polar coordinates
polarregion	Filled polar rectangle (Since R2024a)
polarscatter	Scatter chart in polar coordinates
radiusregion	Filled circular region (annulus) in polar coordinates (Since R2024a)
rlim	Set or query r-axis limits for polar axes
rtickangle	Rotate r-axis tick labels
rtickformat	Specify r-axis tick label format
rticklabels	Set or query r-axis tick labels
rticks	Set or query r-axis tick values
thetalim	Set or query theta-axis limits for polar axes
thetaregion	Filled wedge in polar coordinates (Since R2024a)
thetatickformat	Specify theta-axis tick label format
thetaticklabels	Set or query theta-axis tick labels
thetaticks	Set or query theta-axis tick values
Contour Plots
clabel	Label contour plot elevation
contour	Contour plot of matrix
contour3	3-D contour plot
contourc	Low-level contour matrix computation
contourf	Filled 2-D contour plot
contourslice	Draw contours in volume slice planes
fcontour	Plot contours
Vector Fields
compassplot	Polar plot with arrows emanating from origin (Since R2024b)
feather	Arrows from x-axis
quiver	Quiver or vector plot
quiver3	3-D quiver or vector plot
streamline	Plot streamlines from 2-D or 3-D vector data
streamslice	Plot streamlines in slice planes
Surfaces, Volumes, and Polygons
coneplot	Plot velocity vectors as cones in 3-D vector field
contour3	3-D contour plot
contourslice	Draw contours in volume slice planes
curl	Curl and angular velocity of vector field
cylinder	Create cylinder
divergence	Compute divergence of vector field
ellipsoid	Create ellipsoid
fill	Create filled 2-D patches
fill3	Create filled 3-D patches
fimplicit3	Plot 3-D implicit function
flow	Simple function of three variables
fmesh	Plot 3-D mesh
fsurf	Plot 3-D surface
hidden	Remove hidden lines from mesh plot
interpstreamspeed	Interpolate stream-line vertices from flow speed
isocaps	Compute isosurface end-cap geometry
isocolors	Calculate isosurface and patch colors
isonormals	Compute normals of isosurface vertices
isosurface	Extract isosurface data from volume data
mesh	Mesh surface plot
meshc	Contour plot under mesh surface plot
meshz	Mesh surface plot with curtain
patch	Create patches of colored polygons
pcolor	Pseudocolor plot
peaks	Peaks function
reducepatch	Reduce number of patch faces
reducevolume	Reduce number of elements in volume data set
ribbon	Ribbon plot
shrinkfaces	Reduce size of patch faces
slice	Volume slice planes
smooth3	Smooth 3-D data
sphere	Create sphere
stream2	Compute 2-D streamline data
stream3	Compute 3-D streamline data
streamline	Plot streamlines from 2-D or 3-D vector data
streamparticles	Plot stream particles
streamribbon	3-D stream ribbon plot from vector volume data
streamslice	Plot streamlines in slice planes
streamtube	Create 3-D stream tube plot
subvolume	Extract subset of volume data set
surf	Surface plot
surf2patch	Convert surface data to patch data
surface	Primitive surface plot
surfc	Contour plot under surface plot
surfl	Surface plot with colormap-based lighting
surfnorm	Surface normals
volumebounds	Coordinate and color limits for volume data
waterfall	Waterfall plot
Animation
addpoints	Add points to animated line
animatedline	Create animated line
clearpoints	Clear points from animated line
comet	2-D comet plot
comet3	3-D comet plot
drawnow	Update figures and process callbacks
frame2im	Return image data associated with movie frame
getframe	Capture axes or figure as movie frame
getpoints	Return points that define animated line
im2frame	Convert image to movie frame
movie	Play recorded movie frames
refreshdata	Refresh charted data
Formatting and Annotation
Labels and Annotations
annotation	Create annotations
bubblelegend	Create legend for bubble chart (Since R2020b)
constantplane	Infinite plane in 3-D coordinates (Since R2024b)
datatip	Create data tip
fontname	Change font name for objects in a figure (Since R2022a)
fontsize	Change font size for objects in a figure (Since R2022a)
ginput	Identify axes coordinates
gtext	Add text to figure using mouse
legend	Add legend to axes
line	Create primitive line
rectangle	Create rectangle with sharp or curved corners
sgtitle	Add title to grid of plots
subtitle	Add subtitle to plot (Since R2020b)
texlabel	Format text with TeX characters
text	Add text descriptions to data points
title	Add title
xlabel	Label x-axis
xline	Vertical line with constant x-value
xregion	1-D filled region between x-coordinates (Since R2023a)
ylabel	Label y-axis
yline	Horizontal line with constant y-value
yregion	1-D filled region between y-coordinates (Since R2023a)
zlabel	Label z-axis
Axes Appearance
axes	Create Cartesian axes
axis	Set axis limits and aspect ratios
box	Display axes outline
cla	Clear axes
clf	Clear figure
colororder	Set or query color order palette
daspect	Control data unit length along each axis
figure	Create figure window
grid	Display or hide axes grid lines
hold	Retain current plot when adding new plots
legend	Add legend to axes
linestyleorder	Set or query line style order (Since R2024a)
nexttile	Create axes in tiled chart layout
num2ruler	Convert numeric data for use with specific ruler
orderedcolors	Color palettes for visualizing multiple data series (Since R2023b)
pbaspect	Control relative lengths of each axis
ruler2num	Convert data from specific ruler to numeric data
subplot	Create axes in tiled positions
tightPosition	Position of axes plotting area (Since R2022b)
tiledlayout	Create tiled chart layout for displaying subplots
tilenum	Tile location numbers in tiled chart layout (Since R2022b)
tilerowcol	Row and column numbers in tiled chart layout (Since R2022b)
xlim	Set or query x-axis limits
xscale	Set or query x-axis scale (linear or logarithmic) (Since R2023b)
xsecondarylabel	Set x-axis secondary label (Since R2023b)
xtickangle	Rotate x-axis tick labels
xtickformat	Specify x-axis tick label format
xticklabels	Set or query x-axis tick labels
xticks	Set or query x-axis tick values
ylim	Set or query y-axis limits
yscale	Set or query y-axis scale (linear or logarithmic) (Since R2023b)
ysecondarylabel	Set y-axis secondary label (Since R2023b)
ytickangle	Rotate y-axis tick labels
ytickformat	Specify y-axis tick label format
yticklabels	Set or query y-axis tick labels
yticks	Set or query y-axis tick values
yyaxis	Create chart with two y-axes
zlim	Set or query z-axis limits
zscale	Set or query z-axis scale (linear or logarithmic) (Since R2023b)
zsecondarylabel	Set z-axis secondary label (Since R2023b)
ztickangle	Rotate z-axis tick labels
ztickformat	Specify z-axis tick label format
zticklabels	Set or query z-axis tick labels
zticks	Set or query z-axis tick values
Colormaps
abyss	Abyss colormap array (Since R2023b)
autumn	Autumn colormap array
bone	Bone colormap array
brighten	Brighten or darken colormap
clim	Set colormap limits (Renamed from caxis in R2022a)
colorbar	Colorbar showing color scale
colorcube	Colorcube colormap array
colormap	View and set current colormap
contrast	Create grayscale colormap for indexed image
cool	Cool colormap array
copper	Copper colormap array
flag	Flag colormap array
gray	Gray colormap array
hex2rgb	Convert hexadecimal color codes to RGB triplets (Since R2024a)
hot	Hot colormap array
hsv	HSV colormap array
hsv2rgb	Convert HSV colors to RGB
jet	Jet colormap array
lines	Lines colormap array
parula	Parula colormap array
pink	Pink colormap array
prism	Prism colormap array
rgb2hex	Convert RGB triplets to hexadecimal color codes (Since R2024a)
rgb2hsv	Convert RGB colors to HSV
rgbplot	Plot colormap
sky	Sky colormap array (Since R2023a)
spring	Spring colormap array
summer	Summer colormap array
turbo	Turbo colormap array (Since R2020b)
winter	Winter colormap array
3-D Scene Control
addToolbarExplorationButtons	Add data exploration buttons to figure toolbar
alim	Set or query axes alpha limits
alpha	Add transparency to objects in axes
alphamap	Specify figure alphamap (transparency)
axtoolbar	Create axes toolbar
axtoolbarbtn	Add buttons to axes toolbar
brush	Interactively mark data values in a chart
camdolly	Move camera position and target
cameratoolbar	Control camera toolbar programmatically
camlight	Create or move light object in camera coordinates
camlookat	Position camera to view object or group of objects
camorbit	Rotate camera position around camera target
campan	Rotate camera target around camera position
campos	Set or query camera position
camproj	Set or query projection type
camroll	Rotate camera about view axis
camtarget	Set or query location of camera target
camup	Set or query camera up vector
camva	Set or query camera view angle
camzoom	Zoom in and out on scene
datacursormode	Enable data cursor mode
datatip	Create data tip
dataTipInteraction	Data tip interaction
dataTipTextRow	Add row to data tips
diffuse	Calculate diffuse reflectance
disableDefaultInteractivity	Disable built-in axes interactions
editInteraction	Edit text interaction (Since R2021b)
enableDefaultInteractivity	Enable built-in axes interactions
enableLegacyExplorationModes	Control behavior of modes in UI figures (Since R2020a)
light	Create a light object
lightangle	Create or position light object in spherical coordinates
lighting	Set lighting method
linkaxes	Synchronize limits of multiple axes
linkdata	Automatically update charted data
linkprop	Keep same value for corresponding properties of graphics objects
makehgtform	Create 4-by-4 transform matrix
material	Control reflectance properties of surfaces and patches
pan	Enable pan mode
panInteraction	Pan interaction
plotedit	Interactively edit and annotate plots
refreshdata	Refresh charted data
regionZoomInteraction	Region-zoom interaction
removeToolbarExplorationButtons	Remove data exploration buttons from figure toolbar
rotate	Rotate object about specified origin and direction
rotate3d	Enable rotate mode
rotateInteraction	Rotate interaction
rulerPanInteraction	Ruler-pan interaction
shading	Set color shading of surfaces and patches
specular	Calculate specular reflectance
view	Camera line of sight
viewmtx	View transformation matrices
zoom	Enable zoom mode
zoomInteraction	Zoom interaction
Images
Display Image
image	Display image from array
imagesc	Display image with scaled colors
imshow	Display image
Read, Write, and Modify Image
imfinfo	Information about graphics file
imformats	Manage image file format registry
imread	Read image from graphics file
imresize	Resize image
imtile	Combine multiple image frames into one rectangular tiled image
imwrite	Write image to graphics file
Convert Image Type
cmap2gray	Convert RGB colormap to grayscale colormap (Since R2020b)
frame2im	Return image data associated with movie frame
getrangefromclass	Default display range of image based on its class
im2double	Convert image to double precision
im2frame	Convert image to movie frame
im2gray	Convert RGB image to grayscale (Since R2020b)
ind2rgb	Convert indexed image to RGB image
rgb2gray	Convert RGB image or colormap to grayscale
rgb2ind	Convert RGB image to indexed image
Modify Image Colors
cmpermute	Rearrange colors in colormap
cmunique	Eliminate duplicate colors in colormap; convert grayscale or truecolor image to indexed image
dither	Convert image, increasing apparent color resolution by dithering
imapprox	Approximate indexed image by reducing number of colors
Printing and Saving
copygraphics	Copy plot or graphics content to clipboard (Since R2020a)
exportapp	Capture app as image or PDF (Since R2020b)
exportgraphics	Save plot or graphics content to file (Since R2020a)
getframe	Capture axes or figure as movie frame
openfig	Open figure saved in FIG-file
orient	Paper orientation for printing or saving
print	Print figure or save to specific file format
saveas	Save figure to specific file format
savefig	Save figure as FIG-file
Graphics Objects
Graphics Object Properties
get	Query graphics object properties
reset	Reset graphics object properties
set	Set graphics object properties
Graphics Object Identification
allchild	Find all children of specified objects
ancestor	Ancestor of graphics object
copyobj	Copy graphics objects and their children
delete	Delete files or objects
findall	Find all graphics objects
findfigs	Find visible offscreen figures
findobj	Find graphics objects with specific properties
gca	Current axes or chart
gcbf	Handle of figure containing object whose callback is executing
gcbo	Handle of object whose callback is executing
gcf	Current figure handle
gco	Handle of current object
gobjects	Initialize array for graphics objects
groot	Graphics root object
isgraphics	True for valid graphics object handles
ishandle	Test for valid graphics or Java object handle
Graphics Object Programming
cla	Clear axes
clf	Clear figure
close	Close one or more figures
gobjects	Initialize array for graphics objects
isa	Determine if input is instance of specified class
isempty	Determine whether array is empty
isequal	Determine array equality
isgraphics	True for valid graphics object handles
Interactive Control and Callbacks
dragrect	Drag rectangles with mouse
rbbox	Create rubberband box for area selection
refresh	Redraw current figure
shg	Show current figure
uicontextmenu	Create context menu component
uimenu	Create menu or menu items
Object Containers
